Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Team
2026-03-30,20:45 (13:45),Friendlies (M),Friendlies (M),Mon,Home,W,2.0,1.0,gh Ghana,,52723.0,Joshua Kimmich,4-2-3-1,5-4-1,Stuart Attwell,Match Report,,Germany
2026-03-27,20:45 (14:45),Friendlies (M),Friendlies (M),Fri,Away,W,4.0,3.0,ch Switzerland,,37994.0,Joshua Kimmich,4-1-4-1,4-1-4-1,Chris Kavanagh,Match Report,,Germany
2025-11-17,20:45 (14:45),WCQ,First round,Mon,Home,W,6.0,0.0,sk Slovakia,72.0,40120.0,Joshua Kimmich,4-2-3-1,4-3-3,François Letexier,Match Report,,Germany
2025-11-14,20:45 (14:45),WCQ,First round,Fri,Away,W,2.0,0.0,lu Luxembourg,65.0,9214.0,Jonathan Tah,4-3-3,4-1-4-1,John Brooks,Match Report,,Germany
2025-10-13,19:45 (13:45),WCQ,First round,Mon,Away,W,1.0,0.0,nir Northern Ireland,68.0,17926.0,Joshua Kimmich,4-4-1-1,5-4-1,Jesús Gil,Match Report,,Germany
2025-10-10,20:45 (13:45),WCQ,First round,Fri,Home,W,4.0,0.0,lu Luxembourg,84.0,25249.0,Joshua Kimmich,4-2-3-1,4-5-1,Nenad Minaković,Match Report,,Germany
2025-09-07,20:45 (13:45),WCQ,First round,Sun,Home,W,3.0,1.0,nir Northern Ireland,80.0,43169.0,Joshua Kimmich,4-2-3-1,3-5-2,Espen Eskås,Match Report,,Germany
2025-09-04,20:45 (13:45),WCQ,First round,Thu,Away,L,0.0,2.0,sk Slovakia,70.0,20013.0,Joshua Kimmich,4-2-3-1,4-3-3,Serdar Gözübüyük,Match Report,,Germany
